Title ,Composer,,Sentence,Parallel Period,Contrasting Period,AABA,Rounded Binary,Binary,Ternary,Through-composed,Strophic,Popular Verse-Chorus Form,Verse Chorus,Rondo,Major,minor,Pentatonic,Modal,Atonal,Simple,Compound,Asymmetrical,Changing ,Anacrusis,Syncopation,Hemiola,Ostinato,Monophony,Homophony,Polyphony,Heterophony,Aleatory,Canon,Call and response,Mediant (iii),I6/4,Secondary Dominant,Secondary leading tone,N6,Augmented 6,CTÂº7,Added tone chords,Tone Clusters,Borrowed Chords,Subtonic Chord (bVII),Direct Modulation,Pivot Chord Modulation,Harmonic Sequence,Complete Phrase Model,Desceding Tetrachord in Bass,Half Cadence,Imperfect Authentic Cadence,Perfect Authentic Cadence,Deceptive Cadence,Plagal Cadence,Phrygian Half Cadence,Double Neighbor Figure,Appogiatura,Raised leading tone,Suspension,Anticipation
Be Who You Are,Ryan Main,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great God Almighty!,Stacey V. Gibbs,,,x,,,,,,,x,,,,,x,,,,x,,,,,x,,,x,x,x,,,,x,x,x,,,,,,,,,,,,,x,,x,,x,,x,,x,x,x,,
No Time,Susan Brumfield,,,,,,,,,x,,,,,x,,x,x,,x,,,,x,,,,,x,,,,x,x,,x,,,,,,x,x,x,x,,x,,x,x,,,x,,,,,,,,
Rest Not!,Laura Farnell,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Birds' Lullaby,Sarah Quartel,,x,,,,,,,,,x,,,x,,x,,,x,,,,x,x,,,,x,,,,,,,,,,,,,x,,,x,,,,,x,x,x,,x,,,,,,x,x
The Embers Tell,Mattea Williams,,,,,,,,,x,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fox,Arr. Blake Richter and Taylor Shaeffer,,,,,,,,,,x,,,,x,,,,,x,,,,x,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,?,x,,,,,,,x,
This Little Babe,Benjamin Britten,,x,,,,,,,,x,,,,x,x,,,,x,,,,x,,x,x,,x,,,,x,,x,,x,,,,,,x,,,x,,x,,,x,x,,,,,x,,x,,
The Music of Stillness,Elaine Hagenberg,,,,,,,,,x,,,,,x,,,,,x,,,,,,,,,x,x,,,,x,x,x,,,,,,x,x,x,,,x,,,,,,,,x,,,,,x,
Unclouded Day,Shawn Kirchner,,,,,,,,,,,,x,,x,,,,,x,,,,x,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
